d2star	AZJX01.fasta	AAOK01.fasta	NC_005835.1.fasta	JPOY01.fasta	NC_021058.1.fasta	NC_012660.1.fasta	CP000410.1.fasta	NZ_CP009789.1.fasta	NC_009481.1.fasta	ATLG01.fasta	NC_008817.1.fasta	NC_009004.1.fasta	NZ_CP009887.1.fasta	AJKU01.fasta	AZUG01.fasta	AAZW01.fasta	NC_007335.2.fasta	ADXL01.fasta	AAJM01.fasta	ANJD01.fasta	NZ_CP009494.1.fasta	NC_016856.1.fasta	NC_007712.1.fasta	AZKB01.fasta	AFAO01.fasta	NC_017731.1.fasta	NZ_CP009976.1.fasta	NC_003911.12.fasta	CP000312.1.fasta	NC_017196.2.fasta	AE014075.1.fasta	NC_002696.2.fasta	NC_004547.2.fasta	NC_022569.1.fasta	ASWV01.fasta	CP001733.1.fasta	NC_003910.7.fasta	NC_005072.1.fasta	NC_005071.1.fasta	NC_005042.1.fasta	NC_005070.1.fasta	NZ_AP012544.1.fasta	NC_015183.1.fasta	ATLH01.fasta	NZ_CP009840.1.fasta	NC_002754.1.fasta	NC_008820.1.fasta	NZ_CP006882.1.fasta	NC_008054.1.fasta	NC_008819.1.fasta	CP002491.1.fasta	NC_020528.1.fasta	NC_018679.1.fasta	NC_016810.1.fasta	NC_012971.2.fasta	NC_014010.1.fasta	CP003184.1.fasta	NC_008542.1.fasta	NC_003197.1.fasta	NC_007577.1.fasta	NC_003888.3.fasta	NC_003098.1.fasta	NC_002179.2.fasta	ATYQ01.fasta	NC_008380.1.fasta	CP002888.1.fasta	NC_007205.1.fasta	NC_014230.1.fasta	NC_006461.1.fasta	NC_015948.1.fasta	NC_007795.1.fasta
AZJX01.fasta	1	0.701222	0.528552	0.597257	0.635741	0.653972	0.713623	0.728885	0.673964	0.733361	0.739561	0.750596	0.735425	0.698308	0.649202	0.699946	0.754038	0.657401	0.74733	0.656793	0.604614	0.726871	0.738907	0.99730697	0.602224	0.729428	0.734166	0.593713	0.686974	0.757551	0.736074	0.581734	0.739524	0.727353	0.64941	0.691216	0.77095	0.733788	0.738651	0.752701	0.680367	0.790735	0.668145	0.734884	0.727553	0.636634	0.742364	0.676159	0.713382	0.755941	0.811789	0.665885	0.695503	0.728081	0.728692	0.646861	0.688434	0.626069	0.726812	0.735714	0.625528	0.713529	0.687154	0.673333	0.672935	0.740216	0.727585	0.634543	0.528913	0.651297	0.746284
AAOK01.fasta	0.701222	1	0.654827	0.686019	0.62309	0.809757	0.610016	0.755492	0.9811541	0.703085	0.707248	0.61806	0.705606	0.760225	0.789357	0.738089	0.758362	0.9255299	0.667441	0.783597	0.734197	0.750236	0.782605	0.701811	0.602968	0.713056	0.70337	0.67277	0.671416	0.692962	0.757128	0.743708	0.756225	0.751148	0.791096	0.695859	0.727889	0.713137	0.9314527	0.75171	0.9620768	0.692454	0.758078	0.704237	0.749442	0.623342	0.9312181	0.967648	0.682775	0.758505	0.675767	0.757334	0.731037	0.751293	0.756252	0.636224	0.699	0.688727	0.750531	0.714137	0.741362	0.610016	0.708339	0.773632	0.773334	0.628337	0.697516	0.637568	0.654444	0.716594	0.669411
NC_005835.1.fasta	0.528552	0.654827	1	0.656283	0.573012	0.718047	0.537659	0.618797	0.67424	0.601099	0.578776	0.558613	0.60119	0.676206	0.759305	0.518887	0.574449	0.73015	0.579129	0.688321	0.737749	0.630481	0.631777	0.528629	0.516773	0.507412	0.601608	0.673495	0.607371	0.571334	0.613408	0.773737	0.570835	0.630056	0.759178	0.58217	0.543706	0.589058	0.623818	0.592233	0.700222	0.57073	0.663215	0.602185	0.551889	0.585687	0.623349	0.705542	0.714269	0.575622	0.548152	0.722449	0.555653	0.630402	0.619089	0.545074	0.622212	0.659826	0.630856	0.591299	0.803993	0.53751	0.577987	0.68937	0.690534	0.532206	0.604379	0.597433	0.999250613	0.679506	0.579363
JPOY01.fasta	0.597257	0.686019	0.656283	1	0.610579	0.763689	0.610309	0.703678	0.696795	0.583891	0.569687	0.582462	0.58709	0.748668	0.74395	0.629828	0.589001	0.716192	0.558846	0.782701	0.767394	0.694761	0.731123	0.595109	0.519651	0.633323	0.583284	0.899393	0.612758	0.625491	0.698284	0.795147	0.724294	0.695055	0.743134	0.677639	0.63292	0.570587	0.663173	0.584899	0.708179	0.647525	0.82231	0.585795	0.69621	0.619002	0.662174	0.714936	0.639314	0.58843	0.558121	0.804376	0.65034	0.695038	0.703214	0.774483	0.618093	0.747321	0.695137	0.573037	0.731657	0.610183	0.588612	0.811874	0.812426	0.605469	0.600637	0.588271	0.65614	0.689428	0.56369
NC_021058.1.fasta	0.635741	0.62309	0.573012	0.610579	1	0.594471	0.675331	0.702583	0.614844	0.663116	0.688024	0.659352	0.666788	0.676608	0.609427	0.649091	0.666232	0.629896	0.736443	0.595731	0.600224	0.701733	0.716195	0.637077	0.561096	0.676072	0.663378	0.605898	0.738463	0.65834	0.707731	0.574416	0.690369	0.701274	0.608726	0.653794	0.701211	0.689581	0.642082	0.661801	0.640376	0.659565	0.698383	0.665452	0.699391	0.979882	0.639352	0.638518	0.638345	0.665252	0.673093	0.663589	0.710113	0.701725	0.703384	0.628293	0.752734	0.565871	0.701485	0.694002	0.60582	0.675348	0.566503	0.673207	0.672986	0.703291	0.692295	0.675239	0.572961	0.628455	0.722554
NC_012660.1.fasta	0.653972	0.809757	0.718047	0.763689	0.594471	1	0.604134	0.775979	0.828616	0.611272	0.633208	0.597169	0.614217	0.826212	0.9393157	0.675241	0.660677	0.847996	0.607486	0.9428267	0.85805	0.775559	0.821435	0.650829	0.564589	0.655103	0.611695	0.797487	0.635334	0.624888	0.768882	0.865872	0.756216	0.776335	0.9391466	0.721046	0.690827	0.641805	0.753373	0.662155	0.820956	0.671427	0.801784	0.614689	0.723445	0.604548	0.755192	0.830096	0.751834	0.661801	0.589363	0.826085	0.710525	0.775688	0.775414	0.655165	0.631922	0.818606	0.775994	0.643722	0.842195	0.604184	0.62714	0.836617	0.836611	0.601205	0.672251	0.62007	0.716453	0.755584	0.621035
CP000410.1.fasta	0.713623	0.610016	0.537659	0.610309	0.675331	0.604134	1	0.668368	0.604544	0.728127	0.674758	0.846675	0.732731	0.670862	0.590414	0.704989	0.661702	0.605716	0.762648	0.612968	0.564478	0.668687	0.703803	0.714502	0.621717	0.744657	0.729302	0.576741	0.727113	0.721051	0.674244	0.561238	0.718265	0.66944	0.590882	0.71192	0.723365	0.676324	0.635672	0.647924	0.607336	0.690996	0.667836	0.731176	0.706876	0.679795	0.636019	0.601885	0.644364	0.665558	0.79121	0.621854	0.694705	0.66949	0.668316	0.671585	0.720783	0.590761	0.668904	0.673654	0.57679	0.999975486	0.680145	0.627973	0.627756	0.9360911	0.681286	0.664106	0.53673	0.654303	0.735101
NZ_CP009789.1.fasta	0.728885	0.755492	0.618797	0.703678	0.702583	0.775979	0.668368	1	0.740376	0.693307	0.673561	0.683138	0.696595	0.927727	0.749604	0.792263	0.681856	0.726926	0.700173	0.807541	0.660306	0.9726246	0.907902	0.727834	0.607807	0.821957	0.694449	0.691422	0.67782	0.704105	0.99763837	0.665273	0.9339944	0.9730119	0.749255	0.820959	0.806555	0.67532	0.747206	0.67568	0.734645	0.765992	0.794041	0.695867	0.9014311	0.698175	0.748582	0.735396	0.70522	0.682291	0.714363	0.757013	0.837853	0.9731669	0.999450447	0.767198	0.748527	0.662029	0.9727874	0.681756	0.669511	0.668295	0.653675	0.770471	0.770706	0.693009	0.67392	0.656846	0.618172	0.728166	0.708052
NC_009481.1.fasta	0.673964	0.9811541	0.67424	0.696795	0.614844	0.828616	0.604544	0.740376	1	0.676825	0.673162	0.596983	0.67908	0.762909	0.810828	0.714592	0.719113	0.9457449	0.645867	0.795952	0.761797	0.74164	0.77835	0.674801	0.593676	0.682207	0.677082	0.693233	0.652154	0.669138	0.740698	0.772149	0.737769	0.742277	0.812048	0.682394	0.698815	0.679293	0.898946	0.716659	0.9561015	0.668997	0.763209	0.677839	0.724268	0.616159	0.897242	0.9675658	0.681534	0.719013	0.641382	0.773515	0.71371	0.742547	0.741043	0.622501	0.67792	0.704139	0.741987	0.680663	0.760673	0.60461	0.68762	0.784721	0.784571	0.616052	0.669919	0.629911	0.674036	0.71489	0.639771
ATLG01.fasta	0.733361	0.703085	0.601099	0.583891	0.663116	0.611272	0.728127	0.693307	0.676825	1	0.791539	0.770544	0.99834444	0.672483	0.603693	0.723555	0.773748	0.670968	0.778638	0.615776	0.583001	0.693573	0.693836	0.735173	0.638412	0.762711	0.999281726	0.556457	0.781692	0.73713	0.699992	0.579767	0.703848	0.694647	0.603869	0.698312	0.793794	0.797538	0.74121	0.8008	0.690503	0.695309	0.653595	0.9985672	0.731664	0.651685	0.737072	0.691207	0.60013	0.776329	0.800015	0.640287	0.746397	0.694524	0.694186	0.650446	0.799684	0.573693	0.693637	0.798277	0.609917	0.727723	0.78485	0.640415	0.639647	0.756398	0.79298	0.864573	0.600768	0.634669	0.797583
NC_008817.1.fasta	0.739561	0.707248	0.578776	0.569687	0.688024	0.633208	0.674758	0.673561	0.673162	0.791539	1	0.753438	0.79444	0.65851	0.630368	0.681695	0.9483744	0.683295	0.803436	0.609951	0.604987	0.667022	0.66391	0.741121	0.532478	0.723757	0.792878	0.560773	0.844314	0.702993	0.679475	0.588905	0.667128	0.668228	0.632126	0.650446	0.77727	0.9841986	0.767884	0.9181769	0.721978	0.642732	0.615496	0.79409	0.69346	0.686568	0.77327	0.711834	0.647438	0.9498966	0.773587	0.616234	0.691061	0.667958	0.674732	0.588316	0.762164	0.611016	0.667077	0.9799429	0.637406	0.674285	0.704451	0.616882	0.615825	0.68588	0.879161	0.712406	0.5781	0.634298	0.819971
NC_009004.1.fasta	0.750596	0.61806	0.558613	0.582462	0.659352	0.597169	0.846675	0.683138	0.596983	0.770544	0.753438	1	0.774356	0.665663	0.594897	0.710563	0.738259	0.601131	0.779086	0.602876	0.569907	0.670149	0.690233	0.753001	0.601232	0.7564	0.771026	0.563494	0.764673	0.71723	0.688773	0.560167	0.704916	0.671287	0.596043	0.705122	0.776842	0.754016	0.655873	0.731181	0.62114	0.693966	0.63887	0.773318	0.720411	0.661462	0.658119	0.610106	0.623935	0.742169	0.839391	0.615637	0.696051	0.671546	0.68315	0.655785	0.737011	0.588164	0.670337	0.751842	0.597887	0.846389	0.701184	0.615041	0.614659	0.837427	0.746362	0.683162	0.557579	0.653816	0.794206
NZ_CP009887.1.fasta	0.735425	0.705606	0.60119	0.58709	0.666788	0.614217	0.732731	0.696595	0.67908	0.99834444	0.79444	0.774356	1	0.675577	0.606506	0.727207	0.777317	0.674008	0.782811	0.618468	0.584504	0.696459	0.697237	0.737263	0.641797	0.765923	0.99841626	0.559541	0.786268	0.740474	0.703145	0.58278	0.70635	0.697555	0.606709	0.702364	0.796357	0.800177	0.743905	0.803872	0.693778	0.697045	0.65596	0.99873097	0.733739	0.655372	0.739926	0.694082	0.601344	0.780172	0.802673	0.642846	0.749844	0.697413	0.697522	0.651033	0.80406	0.575902	0.696552	0.801219	0.611478	0.732343	0.785955	0.64278	0.642059	0.759463	0.796586	0.8652	0.600774	0.636281	0.801888
AJKU01.fasta	0.698308	0.760225	0.676206	0.748668	0.676608	0.826212	0.670862	0.927727	0.762909	0.672483	0.65851	0.665663	0.675577	1	0.812453	0.741487	0.661586	0.774134	0.676414	0.843303	0.73174	0.9426936	0.9222038	0.696825	0.603424	0.754727	0.673397	0.752811	0.677823	0.694929	0.9251761	0.751675	0.884834	0.9429233	0.81257	0.79931	0.745828	0.662641	0.733848	0.657216	0.760671	0.717917	0.830754	0.675458	0.825249	0.674636	0.736325	0.764689	0.704322	0.662077	0.663003	0.810026	0.791298	0.9426261	0.9271031	0.738593	0.734149	0.740205	0.9429527	0.666558	0.746879	0.670793	0.64097	0.825177	0.824732	0.680156	0.673819	0.649456	0.674911	0.76147	0.680217
